run_id,compute_proc_type,primary_memory_size,index_type,num_docs_indexed,num_tokens_indexed,search_set_base_size,search_time
16.3,Intel i5,16,bst,950424,4880,1048,21998167
16.4,Intel i5,16,bst,1342745,6268,1388,30004739
16.5,Intel i5,16,bst,2486322,9936,3668,79700231
16.6,Intel i5,16,bst,2722572,10696,760,17004251
16.7,Intel i5,16,bst,3423173,12577,1880,39505720
16.8,Intel i5,16,bst,4520233,16545,3968,83510637
17.1,Intel i5,16,list,468704,4038,2692,92564838647
17.2,Intel i5,16,list,206433,1710,1140,52469392776
17.3,Intel i5,16,list,275287,1572,1048,44054831266
17.4,Intel i5,16,list,392321,2082,1388,60539915561
17.5,Intel i5,16,list,1143577,5502,3668,1.77709E+11
17.6,Intel i5,16,list,236250,1140,760,43035362958
17.7,Intel i5,16,list,700601,2819,1880,96777438163
17.8,Intel i5,16,list,1097060,5952,3968,1.93934E+11
18.1,Intel i5,16,hash,258977,4038,2692,11524200
18.2,Intel i5,16,hash,123068,1710,1140,3994464
18.3,Intel i5,16,hash,130256,1572,1048,6742238
18.4,Intel i5,16,hash,156722,2082,1388,6646394
18.5,Intel i5,16,hash,540565,5502,3668,12967348
18.6,Intel i5,16,hash,126097,1140,760,2582073
18.7,Intel i5,16,hash,297836,2819,1880,6687402
18.8,Intel i5,16,hash,520318,5952,3968,14725923
19.1,Intel i5,16,avl,468704,4038,2692,136002302
19.2,Intel i5,16,avl,206433,1710,1140,33586740
19.3,Intel i5,16,avl,275287,1572,1048,27486801
19.4,Intel i5,16,avl,392321,2082,1388,25492191
19.5,Intel i5,16,avl,1143577,5502,3668,59291362
19.6,Intel i5,16,avl,236250,1140,760,12511968
19.7,Intel i5,16,avl,700601,2819,1880,30823707
19.8,Intel i5,16,avl,1097060,5952,3968,67986965
20.1,Intel i5,16,bst,468704,4038,2692,77803134
20.2,Intel i5,16,bst,206433,1710,1140,26638507
20.3,Intel i5,16,bst,275287,1572,1048,21615743
20.4,Intel i5,16,bst,392321,2082,1388,31899213
20.5,Intel i5,16,bst,1143577,5502,3668,101976394
20.6,Intel i5,16,bst,236250,1140,760,17685174
20.7,Intel i5,16,bst,700601,2819,1880,46705484
20.8,Intel i5,16,bst,1097060,5952,3968,89617967
21.1,Intel i5,16,list,311054,1665,2692,66531885862
21.2,Intel i5,16,list,63679,707,1140,28677648782
21.3,Intel i5,16,list,50226,637,1048,22185683012
21.4,Intel i5,16,list,529527,865,1388,32038548469
21.5,Intel i5,16,list,892501,2286,3668,93285369396
21.6,Intel i5,16,list,141749,469,760,14997693538
21.7,Intel i5,16,list,375413,1178,1880,48316496133
21.8,Intel i5,16,list,998922,2486,3968,1.13392E+11
22.1,Intel i5,16,hash,171145,1665,2692,6505727
22.2,Intel i5,16,hash,40113,707,1140,5590677
22.3,Intel i5,16,hash,37259,637,1048,9750366
22.4,Intel i5,16,hash,113932,865,1388,4613637
22.5,Intel i5,16,hash,435414,2286,3668,9799957
22.6,Intel i5,16,hash,88719,469,760,2578735
22.7,Intel i5,16,hash,233702,1178,1880,5009651
22.8,Intel i5,16,hash,366649,2486,3968,21818637
23.1,Intel i5,16,avl,311054,1665,2692,61865329
23.2,Intel i5,16,avl,63679,707,1140,17115831
23.3,Intel i5,16,avl,50226,637,1048,25233507
23.4,Intel i5,16,avl,529527,865,1388,27824878
23.5,Intel i5,16,avl,892501,2286,3668,59281349
23.6,Intel i5,16,avl,141749,469,760,8526563
23.7,Intel i5,16,avl,375413,1178,1880,26478052
23.8,Intel i5,16,avl,998922,2486,3968,76275110
24.1,Intel i5,16,bst,311054,1665,2692,104537010
24.2,Intel i5,16,bst,63679,707,1140,23454427
24.3,Intel i5,16,bst,50226,637,1048,17982244
24.4,Intel i5,16,bst,529527,865,1388,30450344
24.5,Intel i5,16,bst,892501,2286,3668,104563236
24.6,Intel i5,16,bst,141749,469,760,14980792
24.7,Intel i5,16,bst,375413,1178,1880,46864271
24.8,Intel i5,16,bst,998922,2486,3968,110358476
25.1,M2,16,list,468704,2692,2692,37559116840
25.2,M2,16,list,675137,3832,1140,15803394079
25.3,M2,16,list,950424,4880,1048,14616805315
25.4,M2,16,list,1342745,6268,1388,19358242034
25.5,M2,16,list,2486322,9936,3668,51192892789
25.6,M2,16,list,2722572,10696,760,10564215898
25.7,M2,16,list,3423173,12577,1880,26150062799
25.8,M2,16,list,4520233,16545,3968,55307821035
26.1,M2,16,hash,258977,2692,2692,24770736
26.2,M2,16,hash,382045,3832,1140,3668069
26.3,M2,16,hash,512301,4880,1048,2697944
26.4,M2,16,hash,669023,6268,1388,2886056
26.5,M2,16,hash,1209588,9936,3668,5535840
26.6,M2,16,hash,1335685,10696,760,1091003
26.7,M2,16,hash,1633521,12577,1880,2304077
26.8,M2,16,hash,2153839,16545,3968,4178047
27.1,M2,16,avl,468704,2692,2692,42082071
27.2,M2,16,avl,675137,3832,1140,10572671
27.3,M2,16,avl,950424,4880,1048,9148836
27.4,M2,16,avl,1342745,6268,1388,11003017
27.5,M2,16,avl,2486322,9936,3668,27709007
27.6,M2,16,avl,2722572,10696,760,5581140
